iter	Passed	Remaining
0	189	94540
1	271	67695
2	392	65057
3	524	64981
4	589	58385
5	727	59932
6	857	60360
7	1014	62401
8	1204	65707
9	1357	66523
10	1522	67673
11	1706	69385
12	1882	70527
13	2044	70961
14	2198	71079
15	2347	71012
16	2502	71095
17	2646	70860
18	2775	70261
19	2938	70531
20	3079	70250
21	3235	70305
22	3384	70185
23	3535	70119
24	3670	69746
25	3808	69423
26	3953	69258
27	4083	68841
28	4236	68812
29	4381	68645
30	4502	68115
31	4633	67758
32	4767	67460
33	4887	66984
34	5031	66848
35	5176	66718
36	5337	66785
37	5494	66803
38	5656	66859
39	5787	66555
40	5867	65689
41	6012	65564
42	6140	65263
43	6265	64935
44	6399	64708
45	6534	64490
46	6664	64238
47	6761	63671
48	6802	62606
49	6951	62561
50	7092	62440
51	7239	62368
52	7408	62486
53	7545	62316
54	7692	62236
55	7833	62107
56	7918	61545
57	8042	61285
58	8179	61134
59	8313	60967
60	8420	60598
61	8564	60502
62	8614	59751
63	8706	59311
64	8827	59077
65	8898	58513
66	9042	58437
67	9147	58114
68	9296	58071
69	9423	57889
70	9573	57845
71	9716	57758
72	9870	57738
73	10000	57573
74	10093	57194
75	10232	57088
76	10354	56884
77	10492	56767
78	10623	56614
79	10683	56088
80	10824	55992
81	10966	55903
82	11115	55845
83	11192	55431
84	11324	55291
85	11453	55135
86	11579	54970
87	11739	54962
88	11880	54862
89	12040	54852
90	12209	54875
91	12368	54849
92	12476	54600
93	12539	54160
94	12674	54031
95	12744	53634
96	12884	53531
97	13027	53437
98	13124	53158
99	13248	52992
100	13346	52726
101	13422	52375
102	13538	52180
103	13646	51960
104	13759	51761
105	13837	51435
106	13935	51184
107	14011	50858
108	14135	50707
109	14202	50352
110	14348	50285
111	14468	50123
112	14604	50016
113	14752	49951
114	14915	49933
115	15072	49894
116	15241	49892
117	15356	49714
118	15452	49472
119	15584	49350
120	15638	48984
121	15790	48924
122	15906	48752
123	16056	48687
124	16133	48401
125	16287	48344
126	16444	48296
127	16548	48095
128	16671	47945
129	16813	47852
130	16893	47586
131	16963	47292
132	17073	47113
133	17149	46841
134	17298	46769
135	17446	46695
136	17526	46439
137	17644	46284
138	17758	46120
139	17903	46038
140	18012	45861
141	18153	45766
142	18216	45478
143	18352	45371
144	18469	45219
145	18606	45114
146	18686	44873
147	18793	44698
148	18907	44541
149	19017	44373
150	19147	44255
151	19310	44210
152	19442	44094
153	19553	43932
154	19659	43758
155	19777	43612
156	19893	43462
157	20012	43318
158	20156	43228
159	20294	43126
160	20460	43081
161	20623	43029
162	20738	42877
163	20840	42696
164	20960	42557
165	21093	42441
166	21220	42312
167	21321	42134
168	21454	42020
169	21573	41878
170	21688	41727
171	21796	41566
172	21918	41430
173	22064	41338
174	22183	41197
175	22336	41120
176	22455	40977
177	22573	40834
178	22686	40684
179	22796	40526
180	22912	40381
181	23013	40210
182	23138	40081
183	23252	39933
184	23369	39790
185	23485	39647
186	23619	39533
187	23732	39386
188	23858	39259
189	23964	39100
190	24093	38978
191	24219	38851
192	24337	38713
193	24455	38573
194	24575	38438
195	24690	38295
196	24827	38187
197	24965	38078
198	25084	37941
199	25220	37830
200	25339	37694
201	25457	37556
202	25575	37418
203	25691	37277
204	25810	37141
205	25924	36999
206	26042	36862
207	26156	36719
208	26277	36586
209	26404	36463
210	26515	36317
211	26622	36165
212	26738	36027
213	26847	35880
214	26969	35750
215	27077	35601
216	27200	35473
217	27349	35379
218	27455	35228
219	27574	35094
220	27704	34975
221	27843	34866
222	27953	34722
223	28067	34582
224	28205	34473
225	28336	34354
226	28453	34219
227	28574	34089
228	28687	33949
229	28795	33802
230	28907	33663
231	29019	33522
232	29134	33386
233	29257	33258
234	29391	33143
235	29521	33023
236	29657	32911
237	29773	32775
238	29892	32643
239	30012	32513
240	30118	32368
241	30229	32227
242	30345	32093
243	30484	31983
244	30606	31855
245	30704	31703
246	30824	31573
247	30934	31433
248	31058	31308
249	31172	31172
250	31292	31043
251	31410	30911
252	31528	30780
253	31650	30653
254	31769	30523
255	31879	30385
256	31985	30243
257	32092	30102
258	32197	29959
259	32313	29828
260	32427	29694
261	32547	29566
262	32651	29423
263	32771	29295
264	32886	29163
265	32993	29024
266	33109	28893
267	33213	28751
268	33339	28629
269	33450	28494
270	33572	28369
271	33717	28263
272	33838	28136
273	33953	28005
274	34064	27871
275	34178	27739
276	34292	27607
277	34406	27475
278	34522	27345
279	34625	27205
280	34734	27070
281	34845	26937
282	34949	26798
283	35070	26673
284	35186	26543
285	35299	26412
286	35415	26283
287	35527	26152
288	35640	26021
289	35746	25885
290	35863	25757
291	35978	25628
292	36090	25497
293	36207	25370
294	36331	25247
295	36435	25110
296	36547	24980
297	36647	24841
298	36769	24717
299	36870	24580
300	36984	24451
301	37103	24326
302	37220	24199
303	37325	24065
304	37435	23934
305	37550	23806
306	37673	23683
307	37797	23561
308	37908	23432
309	38036	23312
310	38151	23185
311	38287	23070
312	38404	22944
313	38521	22818
314	38633	22689
315	38749	22562
316	38878	22444
317	39007	22325
318	39160	22219
319	39291	22101
320	39428	21986
321	39545	21860
322	39666	21736
323	39787	21612
324	39910	21490
325	40017	21359
326	40139	21235
327	40260	21112
328	40383	20989
329	40504	20865
330	40639	20749
331	40768	20629
332	40891	20507
333	41002	20378
334	41127	20256
335	41243	20130
336	41360	20005
337	41467	19874
338	41590	19752
339	41710	19628
340	41841	19509
341	41958	19384
342	42071	19257
343	42195	19135
344	42317	19012
345	42437	18888
346	42565	18767
347	42707	18653
348	42821	18527
349	42954	18408
350	43102	18297
351	43225	18174
352	43342	18049
353	43460	17924
354	43579	17800
355	43710	17680
356	43829	17556
357	43952	17433
358	44069	17308
359	44190	17185
360	44300	17057
361	44425	16935
362	44531	16806
363	44648	16681
364	44836	16583
365	44961	16461
366	45088	16339
367	45231	16224
368	45367	16106
369	45516	15992
370	45648	15872
371	45778	15751
372	45889	15624
373	46016	15502
374	46133	15377
375	46272	15260
376	46409	15141
377	46535	15019
378	46656	14895
379	46772	14770
380	46896	14647
381	47003	14519
382	47135	14399
383	47251	14273
384	47391	14155
385	47495	14027
386	47618	13904
387	47728	13777
388	47849	13653
389	47963	13528
390	48100	13409
391	48238	13290
392	48342	13162
393	48457	13036
394	48565	12909
395	48679	12784
396	48784	12656
397	48898	12531
398	49010	12406
399	49134	12283
400	49264	12162
401	49379	12037
402	49492	11912
403	49602	11786
404	49735	11666
405	49901	11553
406	50020	11429
407	50136	11305
408	50245	11179
409	50358	11054
410	50474	10930
411	50608	10809
412	50738	10688
413	50848	10562
414	50966	10438
415	51099	10318
416	51230	10196
417	51332	10069
418	51442	9944
419	51559	9820
420	51668	9695
421	51786	9571
422	51899	9447
423	52019	9324
424	52139	9201
425	52266	9079
426	52378	8954
427	52491	8830
428	52603	8706
429	52720	8582
430	52838	8459
431	52951	8334
432	53071	8212
433	53194	8089
434	53301	7964
435	53415	7840
436	53528	7716
437	53643	7593
438	53778	7472
439	53890	7348
440	53998	7224
441	54122	7102
442	54225	6977
443	54348	6854
444	54462	6731
445	54587	6609
446	54698	6485
447	54822	6363
448	54937	6240
449	55046	6116
450	55178	5994
451	55286	5871
452	55415	5749
453	55519	5625
454	55638	5502
455	55759	5380
456	55882	5258
457	55988	5134
458	56112	5012
459	56231	4889
460	56355	4767
461	56471	4644
462	56584	4521
463	56709	4399
464	56826	4277
465	56942	4154
466	57055	4031
467	57197	3910
468	57310	3788
469	57431	3665
470	57538	3542
471	57666	3420
472	57789	3298
473	57965	3179
474	58092	3057
475	58224	2935
476	58341	2813
477	58488	2691
478	58630	2570
479	58767	2448
480	58901	2326
481	59019	2204
482	59178	2082
483	59317	1960
484	59456	1838
485	59579	1716
486	59728	1594
487	59900	1472
488	60057	1350
489	60190	1228
490	60319	1105
491	60432	982
492	60565	859
493	60680	737
494	60803	614
495	60936	491
496	61064	368
497	61195	245
498	61324	122
499	61446	0
